№,Товарная группа,Бренд,Товар,Рынок/витрина,Страна,Валюта,Обычная цена,Цена со скидкой,Состав,Ценовой уровень,Статус товара,Почему важен,Источник,Дата среза,Ограничения
111,Плед из яка,BODIO’S (retailer Mongolian.pl),Koc z wełny jaka w kratkę (indeks 1404bb),PL,Польша,Польский злотый,2310,,100% wełna z jaka,,В наличии,"Официальный карточка товара ритейлера подтверждает уникальный индекс 1404bb, 100% yak, размер, PLN-цену и наличие; обязательный для yak-слота вес не раскрыт.","=HYPERLINK(""https://mongolian.pl/koce-i-pledy/koc-z-welny-jaka-w-kratke-2336"";""Открыть ↗"")",16.09.2026,"Качество подтверждения: частичное; причина указана в колонке «Почему важен». Размер: 150 x 200 cm. Масса/плотность: не указано. НДС на странице: не указано на PDP. Наличие на странице: В наличии; schema InStock и активное добавление в корзину. Доставка: Отправка до 24 часов, доставка до 2 рабочих дней; бесплатно от 300 PLN. Возврат: 30 дней; бесплатный возврат."
112,Плед из яка,BODIO’S (retailer Mongolian.pl),Koc z wełny jaka w dużą kratę (indeks 1404bc),PL,Польша,Польский злотый,1650,,100% wełna z jaka,,В наличии,"Официальный карточка товара ритейлера подтверждает уникальный индекс 1404bc, 100% yak, размер, PLN-цену и наличие; обязательный для yak-слота вес не раскрыт.","=HYPERLINK(""https://mongolian.pl/koce-i-pledy/koc-z-welny-jaka-w-duza-krate-2337"";""Открыть ↗"")",16.09.2026,"Качество подтверждения: частичное; причина указана в колонке «Почему важен». Размер: 150 x 200 cm. Масса/плотность: не указано. НДС на странице: не указано на PDP. Наличие на странице: В наличии; schema InStock и активное добавление в корзину. Доставка: Отправка до 24 часов, доставка до 2 рабочих дней; бесплатно от 300 PLN. Возврат: 30 дней; бесплатный возврат."
113,Плед из яка,Kinship Collective × Noble Fibre,Yak Throw — Espresso (SKU NF-YB01-D),SE,Швеция,Шведская крона,2900,,100% handwoven yak wool,,В наличии,"Официальный шведский DTC карточка товара (Kinship Collective AB) подтверждает артикул NF-YB01-D, 100% yak, размер, цену в SEK и остаток; обязательный вес не раскрыт.","=HYPERLINK(""https://kinship-collective.com/products/throw-90-x-180"";""Открыть ↗"")",16.09.2026,Качество подтверждения: частичное; причина указана в колонке «Почему важен». Размер: 127 x 203 cm. Масса/плотность: не указано. НДС на странице: all prices include VAT. Наличие на странице: Только 2 шт. в наличии. Доставка: Бесплатная доставка по Швеции; срок не указан. Возврат: Уведомление в течение 14 рабочих дней; обратную доставку оплачивает покупатель.
114,Плед из яка,Kinship Collective × Noble Fibre,Yak Throw — Natural Brown (SKU NF-YB02-D),SE,Швеция,Шведская крона,2900,,100% handwoven yak wool,,Нет в наличии,"Официальный шведский DTC карточка товара (Kinship Collective AB) подтверждает отдельный артикул NF-YB02-D, 100% yak, размер, SEK-цену и нулевой остаток; обязательный вес не раскрыт.","=HYPERLINK(""https://kinship-collective.com/collections/blankets/products/yak-blanket-natural-brown-90-x-180cm"";""Открыть ↗"")",16.09.2026,Качество подтверждения: частичное; причина указана в колонке «Почему важен». Размер: 127 x 203 cm. Масса/плотность: не указано. НДС на странице: all prices include VAT. Наличие на странице: Распродано; 0 шт.. Доставка: Бесплатная доставка по Швеции; срок не указан. Возврат: Уведомление в течение 14 рабочих дней; обратную доставку оплачивает покупатель.
115,Другие пледы,Ritter Decken,Karlsbad Schurwolldecke (Merinowolle) — Creme / 150 x 200 cm (SKU 1962),DE,Германия,Евро,229,,100% Schurwolle; mulesing-free Australian Merino-Schurwolle,,В наличии,"Официальный карточка товара и данные варианта 44909414154557 подтверждают артикул 1962, состав, цену, наличие и массу именно размера 150 x 200 cm.","=HYPERLINK(""https://ritter-decken.de/products/karlsbad-schurwolldecke-merinowolle-1?variant=44909414154557"";""Открыть ↗"")",16.09.2026,Размер: 150 x 200 cm. Масса/плотность: 1280 g; 427 g/m². НДС на странице: inkl. MwSt.. Наличие на странице: В наличии; выбранный вариант available=true. Доставка: 1–3 Werktage; бесплатная доставка по Германии от 100 EUR. Возврат: 14 дней; обратную доставку оплачивает покупатель.
116,Другие пледы,Lodenwalker / Jörg Steiner,Virgin Wool Blanket Classic — Sage/sand / 200 x 150 cm (SKU SW10288.2),DE,Германия,Евро,222,,100% new wool; edging 100% new wool,,В наличии,"Официальный карточка товара бренда раскрывает отдельный артикул, 100% new wool, размер, линейную массу, EUR-цену и наличие.","=HYPERLINK(""https://lodenwalker.com/en/New-Wool-Blanket-Classic/SW10288.2"";""Открыть ↗"")",16.09.2026,Размер: ca. 200 x 150 cm. Масса/плотность: ca. 850 g per linear metre. НДС на странице: Prices incl. VAT plus shipping costs. Наличие на странице: Available. Доставка: 1–3 days; бесплатно AT/DE при заказе свыше 200 EUR. Возврат: 14 дней; прямую стоимость возврата оплачивает покупатель.
117,Другие пледы,URBANARA,Merinodecke Raiana — Beige & Natur,DE,Германия,Евро,149,,100% Merinowolle,,Нет в наличии,"Официальный карточка товара бренда подтверждает отдельную модель, 100% merino, размер, плотность, цену и статус sold out.","=HYPERLINK(""https://www.urbanara.de/products/decke-beige-natur-merino-raiana"";""Открыть ↗"")",16.09.2026,Размер: 130 x 175 cm. Масса/плотность: 190 g/m². НДС на странице: inkl. MwSt.. Наличие на странице: Ausverkauft. Доставка: Срок не указан; бесплатная доставка по Германии от 200 EUR. Возврат: 30 дней.
118,Другие пледы,HAY,Duo Throw W130 x L180 Mint,NL,Нидерланды,Евро,119,,100% wool,,В наличии,"Официальный NL карточка товара бренда подтверждает конкретный цвет Mint, 100% wool, размер, цену и наличие.","=HYPERLINK(""https://www.hay.nl/duo-throw-mint"";""Открыть ↗"")",16.09.2026,Размер: 130 x 180 cm. Масса/плотность: не указано. НДС на странице: terms: price includes all taxes; на PDP отдельной VAT-метки нет. Наличие на странице: In stock. Доставка: PostNL/DHL; срок не указан; бесплатная стандартная доставка NL от 50 EUR. Возврат: 14 дней; обратную доставку оплачивает покупатель (ориентир NL-посылки 6.95 EUR).
119,Другие пледы,Belpo (retailer Texelana),Belpo Tartan blanket — Dark maple (SKU/EAN 7446046525504),NL,Нидерланды,Евро,79.99,,100% recycled wool,,В наличии,"Официальный карточка товара ритейлера и данные выбранного варианта подтверждают уникальный EAN, цену и наличие Dark maple; состав, размер и масса раскрыты на карточке.","=HYPERLINK(""https://www.texelana.nl/collections/wollen-plaids/products/belpo-tartan-wollen-plaid?variant=50608738566462"";""Открыть ↗"")",16.09.2026,"Размер: 150 x 180 cm. Масса/плотность: ca. 1100 g. НДС на странице: Inclusief belasting. Наличие на странице: В наличии; выбранный вариант 50608738566462 available=true. Доставка: NL 5.95 EUR, бесплатного порога не указано; до 10:00 в будни отправка в тот же день, иногда +1–2 дня; DHL обычно 24 часа. Возврат: 30 дней; обратную доставку оплачивает покупатель (бесплатная этикетка только при возврате на gift card свыше 30 EUR)."
120,Другие пледы,Yumeko,Merinowollen deken grey melange 150 x 210 (SKU E938),NL,Нидерланды,Евро,219,,100% merino scheerwol,,В наличии,"Официальный NL карточка товара бренда раскрывает артикул E938, 100% merino virgin wool, размер, плотность и цену.","=HYPERLINK(""https://www.yumeko.nl/deken-merino-wol-grey-melange-150x210"";""Открыть ↗"")",16.09.2026,"Размер: 150 x 210 cm. Масса/плотность: 445 g/m². НДС на странице: не указано на PDP. Наличие на странице: Доступна для заказа. Доставка: В будни до 17:00 отправка в тот же день; обычно 1 рабочий день; бесплатно от 49.95 EUR, иначе 4.90 EUR. Возврат: Бесплатный возврат в течение 30 дней; изделие должно быть неиспользованным и нестиранным."
121,Другие пледы,HOP Design,Koc wełniany ALPAK — zielony prążek,PL,Польша,Польский злотый,449,,100% wełna owcza (z młodych owiec),,В наличии,"Официальный карточка товара бренда подтверждает новую модель/цвет, 100% sheep wool, размер, плотность, PLN-цену и наличие.","=HYPERLINK(""https://hopsklep.pl/produkt/koc-welniany-alpak-zielony-prazek/"";""Открыть ↗"")",16.09.2026,Размер: 155 x 205 cm без бахромы. Масса/плотность: ca. 450–500 g/m². НДС на странице: z VAT. Наличие на странице: В наличии. Доставка: Экспресс-отправка до 24 часов; бесплатный Paczkomat от 199 PLN. Возврат: 30 дней.
122,Другие пледы,Rytex,Koc wełniany duże romby z brązową lamówką (SKU 9804/R1-L246),PL,Польша,Польский злотый,199.26,,100% wełna,,В наличии,"Официальный карточка товара производителя подтверждает отдельный артикул, 100% wool, размер, массу 1.2 kg в названии, PLN-цену и остаток 1 шт.","=HYPERLINK(""https://rytex.com.pl/produkt/koc-welniany-duze-romby-z-brazowa-lamowka-150-x-200-cm-1-2kg/"";""Открыть ↗"")",16.09.2026,Размер: 150 x 200 cm. Масса/плотность: 1.2 kg; 600 g per linear metre. НДС на странице: PDP structured data: valueAddedTaxIncluded=true; отдельной видимой VAT-метки нет. Наличие на странице: 1 шт. в наличии. Доставка: До 14 рабочих дней; GLS 21.46 PLN по предоплате / 29.46 PLN наложенным платежом; бесплатный порог не указан. Возврат: 14 календарных дней; прямую стоимость возврата оплачивает покупатель.
123,Другие пледы,Klippan Yllefabrik,Velvet — Avokado (SKU 210405),SE,Швеция,Шведская крона,999,,100% lambswool,,Нет в наличии,"Официальный карточка товара бренда и данные варианта 40444963586218 подтверждают артикул 210405, 100% lambswool, размер, цену и текущий статус temporarily out of stock.","=HYPERLINK(""https://klippanyllefabrik.se/products/velvet?variant=40444963586218"";""Открыть ↗"")",16.09.2026,"Размер: 130 x 200 cm. Масса/плотность: не указано. НДС на странице: не указано на PDP. Наличие на странице: Tillfälligt slut i lager; вариант available=false. Доставка: Обычно отправка в тот же будний день при заказе до 13:00, перевозчик 2–4 дня; бесплатная доставка до пункта выдачи по Швеции от 900 SEK. Возврат: 30 дней; возвратная посылка 69 SEK, исходная доставка не возмещается."
124,Другие пледы,Stackelbergs (retailer Norrgavel),Pläd Mohair bright white (SKU 7530030-h),SE,Швеция,Шведская крона,2695,,70% mohairull / 25% ull / 5% nylon,,В наличии,"Официальный карточка товара Norrgavel подтверждает артикул 7530030-h, цену с VAT, состав, размер и наличие. Массу 2 kg не считаем массой пледа: поле прямо включает упаковку; несогласованность срока возврата сохранена дословно.","=HYPERLINK(""https://norrgavel.se/inredning/hemtextilier/pladar-filtar/plad-mohair-bright-white"";""Открыть ↗"")",16.09.2026,"Размер: 130 x 170 cm. Масса/плотность: не указано; 2 kg на сайте — масса вместе с упаковкой. НДС на странице: price.incVat=2695; VAT=539 в данных PDP. Наличие на странице: В наличии; schema InStock. Доставка: Складской декор обычно отправляется за 2–3 дня; стоимость/бесплатный порог не указаны и зависят от способа доставки. Возврат: Официальные страницы противоречат: страница возврата — 14 дней, условия покупки — 30 дней; покупатель оплачивает возврат."
125,Другие пледы,Røros Tweed,Mikkel Large Throw — Orange (SKU 3755),EU,ЕС,Евро,239,,100% wool,,В наличии,"Официальный карточка товара бренда в EUR подтверждает вариант Orange, артикул 3755, цену 239 EUR, 100% wool, размер, массу и наличие; price-before-discount равна текущей, поэтому regular_price оставлена пустой.","=HYPERLINK(""https://www.rorostweed.com/en/product/mikkel-large-throw?variant=orange&country=de&currency=eur&stay=1"";""Открыть ↗"")",16.09.2026,Размер: 135 x 200 cm. Масса/плотность: 1.2 kg. НДС на странице: prices include all taxes and additional costs. Наличие на странице: В наличии; schema InStock. Доставка: Отправка через 1–2 рабочих дня; бесплатный порог не указан. Возврат: 14 дней на отказ с получения; отправить обратно не позднее 14 дней после уведомления; прямые расходы несёт покупатель.
126,Шали,PURSCHOEN,Kaschmirschal Stone II,DE,Германия,Евро,239,,100% cashmere,,Уточнить,Официальная DE карточка товара; артикул 247/4015/OS; wide cashmere stole; конфликтующие stock-сигналы сохранены в availability.,"=HYPERLINK(""https://purschoen.de/products/stone-ii-schal"";""Открыть ↗"")",16.09.2026,Размер: 195 × 85 cm; large stole. НДС на странице: inkl. MwSt. zzgl. Versand. Наличие на странице: Add to cart; одновременно сообщение Selected quantity exceeds current stock. Доставка: не указано. Возврат: не указано.
127,Шали,Falconeri,Kaschmirstola Damen / Cashmere Stole,DE,Германия,Евро,188,,100% cashmere,,В наличии,"Официальная DE карточка товара; code DZ00195; отдельная stole-модель, цена, состав и размер подтверждены.","=HYPERLINK(""https://www.falconeri.com/de/product/kaschmirstola_damen-DZ00195.html?dwvar_DZ00195_Z_COL_FALCD=9215"";""Открыть ↗"")",16.09.2026,"Размер: 208 × 62 cm; large stole. НДС на странице: не указано. Наличие на странице: Select size; Add to cart. Доставка: не указано. Возврат: 30 дней; бесплатно в магазинах; возможен возврат курьером, стоимость не указана."
128,Шали,REPEAT cashmere,Stijlvolle vierkante cashmere sjaal met strepen en dekensteek,NL,Нидерланды,Евро,399.95,,100% GOTS organic cashmere,,Нет в наличии,Официальная NL карточка товара; article 700561-8366; отдельная квадратная stole-модель.,"=HYPERLINK(""https://www.repeatcashmere.com/nl/stijlvolle-vierkante-cashmere-sjaal-met-strepen-en-dekensteek/700561-8366.html"";""Открыть ↗"")",16.09.2026,"Размер: 140 × 140 cm; large square stole. НДС на странице: incl BTW. Наличие на странице: Unavailable / notify me; PDP также указывает изготовление под заказ. Доставка: NL доставка €4.95, бесплатно от €99; 3–6 рабочих дней; изготовление под заказ — до 15 рабочих дней. Возврат: Возврат с небольшой комиссией; сумма не указана."
129,Шали,Joe Merino,Scarf Julia Navy,NL,Нидерланды,Евро,100,,100% superfine merino wool; non-mulesed,,В наличии,"Официальная NL карточка товара; цена показана как Vanaf 100,-; текущая карточка помечает модель последними экземплярами/снятием с линейки.","=HYPERLINK(""https://www.joemerino.com/nl_nl/scarf-julia-navy/"";""Открыть ↗"")",16.09.2026,Размер: 210 × 70 cm; large stole; ≈320 g. НДС на странице: Incl.btw. Наличие на странице: One Size; last units / discontinued; Add to cart. Доставка: Бесплатная доставка; заказ до 23:00 отправляется в тот же день. Возврат: Бесплатный возврат; 100 дней.
130,Шали,Filippa K,Monogram Scarf — Light Beige,NL,Нидерланды,Евро,170,85,60% recycled wool (GRS); 20% mulesing-free merino wool; 10% cashmere; 10% recycled cashmere (GRS),,В наличии,Официальная NL карточка товара; article 31011-0213-ONE-S; раскрыты все доли wool/cashmere blend; отдельная модель.,"=HYPERLINK(""https://www.filippa-k.com/nl/en/monogram-scarf/31011-0213.html"";""Открыть ↗"")",16.09.2026,Размер: 200 × 50 cm; compact shawl. НДС на странице: не указано. Наличие на странице: ONE-S; Add to bag. Доставка: Бесплатная доставка для участников; 2–4 дня. Возврат: 14 дней; комиссия €4; возврат в магазин бесплатно.
131,Шали,Wólczanka,Szal z wełny — kremowy,PL,Польша,Польский злотый,199.99,99.99,100% wool,,Уточнить,Официальная PL карточка товара; code 0000JX5581; текущая и обычная цена подтверждены; противоречивые stock-сигналы сохранены.,"=HYPERLINK(""https://wolczanka.pl/kremowy-szal-wolczanka-62632-1"";""Открыть ↗"")",16.09.2026,Размер: 200 × 40 cm; compact shawl. НДС на странице: не указано. Наличие на странице: Universal; notify signal; one boutique; tylko online. Доставка: Бутик 0 PLN; DPD Pickup 8.79 PLN; Orlen Paczka 8.99 PLN; DPD courier 12 PLN; InPost locker 13.99 PLN; InPost courier 14.99 PLN. Возврат: 30 дней.
132,Шали,Answear.LAB,Szal damski z dodatkiem wełny — różowy,PL,Польша,Польский злотый,159.99,83.99,80% modal; 15% wool; 5% cashmere,,В наличии,Официальная карточка товара ритейлера Answear; model MLC.iak; product ID BPY2-SAD040_03X; раскрытый blend и large-stole размер.,"=HYPERLINK(""https://answear.com/p/answear-lab-szal-damski-z-dodatkiem-welny-rozowy-1683373"";""Открыть ↗"")",16.09.2026,Размер: 206 × 80 cm; large stole. НДС на странице: не указано. Наличие на странице: ONE; Add to cart. Доставка: Доставка возможна в течение 24 часов; бесплатно от 280 PLN. Возврат: 30 дней.
133,Шали,Soft Goat,Knitted Scarf — Black,SE,Швеция,Шведская крона,2500,,100% cashmere,,Уточнить,"Официальная SE карточка товара была индексирована с 2,500 SEK, 100% cashmere и 192 × 60 cm; повторное открытие перенаправило экстрактор на US locale, поэтому live stock и сервисные условия SE не подтверждены.","=HYPERLINK(""https://softgoat.com/se/p/knitted-scarf-black/"";""Открыть ↗"")",16.09.2026,Качество подтверждения: частичное; причина указана в колонке «Почему важен». Размер: 192 × 60 cm; large stole. НДС на странице: не указано. Наличие на странице: не указано. Доставка: не указано. Возврат: не указано.
134,Шали,Davida Cashmere,Rectangular Scarf — Mink,SE,Швеция,Шведская крона,1699,850,100% cashmere,,В наличии,Официальная карточка; отдельная прямоугольная модель; на странице видны текущая и обычная цена.,"=HYPERLINK(""https://davidacashmere.com/products/rectangular-scarf-accessories-mink"";""Открыть ↗"")",16.09.2026,Размер: 200 × 45 cm; compact shawl. НДС на странице: не указано. Наличие на странице: One Size; Add to cart. Доставка: Швеция 1–2 дня; EU 2–5 дней; бесплатная EU-доставка от €200. Возврат: не указано.
135,Шали,Essentiel Antwerp,Olijfgroene wol-kasjmier sjaalkraag,BE,Бельгия,Евро,135,,97% wool; 3% cashmere,,Уточнить,Официальная карточка для Бельгии; артикул KAAP-OG24; раскрыты состав с шерстью и кашемиром и размер.,"=HYPERLINK(""https://www.essentiel-antwerp.com/be_nl/p/green-scarf-kaap"";""Открыть ↗"")",16.09.2026,Размер: 150 × 54 cm; large shoulder wrap. НДС на странице: не указано. Наличие на странице: Select size; явный stock-сигнал не указан. Доставка: не указано. Возврат: не указано.
136,Шали,Johnstons of Elgin,Raeburn Light Brown Cashmere Travel Stole,EU,ЕС,Фунт стерлингов,395,,100% cashmere,,Уточнить,Официальная карточка товара; артикул HAA03407; luxury travel-stole anchor; противоречивые launch/cart сигналы сохранены.,"=HYPERLINK(""https://johnstonsofelgin.com/products/raeburn-light-brown-cashmere-travel-stole"";""Открыть ↗"")",16.09.2026,Размер: 180 × 90 cm; large stole. НДС на странице: не указано. Наличие на странице: Coming Soon; PDP также показывает Add to bag. Доставка: Бесплатная доставка всех онлайн-заказов. Возврат: 14 дней; вышивка исключает возврат.
137,Перчатки,DILLING,Baby Wanten Merinowol – fleece (FG-5226-0275-597),NL,Нидерланды,Евро,17.99,,Тип: вязаные/флисовые мериносовые варежки; 100% органическая мериносовая шерсть; 290 g/m²; 19.5 micron; отдельная подкладка не указана,,В наличии,"[2026-09-16] Официальная карточка товара: отдельный артикул FG-5226-0275-597, цена, материал и физический замер. Размерная сетка и отдельная подкладка не указаны; не дубль PG-42010-0175-564.","=HYPERLINK(""https://www.dilling.nl/product/wanten-van-merinowolfleece-voor-babys-fg-5226-0275-597"";""Открыть ↗"")",16.09.2026,Качество подтверждения: частичное; причина указана в колонке «Почему важен». Размер: не указано; размер флисовой части без манжеты 10×8 см. НДС на странице: Incl. BTW. Наличие на странице: Доступно к добавлению в корзину. Доставка: 2–4 рабочих дня из Дании; доставка от €4; бесплатно от €79. Возврат: 100 дней.
138,Перчатки,Hestra,Deerskin Wool Tricot (20450-100100),NL,Нидерланды,Евро,95,,"Тип: leather + wool lining; верх — deerskin; wool tricot — 100% OEKO-TEX wool; подкладка — 80% wool, 20% polyamide, тонкая вязаная merino wool lining",,В наличии,"[2026-09-16] Официальная EU карточка товара Hestra: отдельная модель 20450-100100, цена за товар, конструкция leather + merino lining и размерная сетка 6–11.","=HYPERLINK(""https://www.hestragloves.eu/products/deerskin-wool-tricot-black-black"";""Открыть ↗"")",16.09.2026,"Размер: 6; 7; 8; 9; 10; 11. НДС на странице: не указано. Наличие на странице: Доступно к добавлению в корзину. Доставка: EU: pickup €8, home €11; бесплатно pickup от €70, home от €150; упаковка до 2 рабочих дней, итоговый срок в checkout. Возврат: 30 дней; возвратный сбор €5."
139,Перчатки,Icebreaker,360 Sierra handschoenen (IB104829001),NL,Нидерланды,Евро,45.95,,"Тип: вязаные RealFleece; основная ткань 88% wool, 9% nylon, 3% elastane; манжета 97% wool, 3% elastane; ладонь 100% nylon + polyurethane; кончики 92% polyester, 8% elastane; отдельная подкладка не указана",,В наличии,"[2026-09-16] Официальная NL карточка товара: отдельный артикул IB104829001, цена, детальный состав по частям и размеры XS–XL.","=HYPERLINK(""https://eu.icebreaker.com/nl-nl/products/realfleece-sierra-handschoenen-ib104829001"";""Открыть ↗"")",16.09.2026,"Размер: XS; S; M; L; XL. НДС на странице: не указано. Наличие на странице: Все размеры XS–XL показаны доступными; добавление в корзину. Доставка: Стандарт 2–3 дня, бесплатно от €65; express 1–2 дня, стоимость не указана. Возврат: 30 дней; PDP заявляет бесплатный возврат."
140,Перчатки,Wólczanka,Rękawiczki z wełny 0000JX4121,PL,Польша,Польский злотый,99.99,49.99,Тип: вязаные шерстяные перчатки; 100% wełna; отдельная подкладка не указана,,Нет в наличии,"[2026-09-16] Официальная карточка товара: текущая 49.99 PLN, regular 99.99 PLN, минимум за 30 дней 99.99 PLN; товар недоступен. Размер и подкладка на текущей странице не указаны; не дубль артикул 0000JX4086.","=HYPERLINK(""https://wolczanka.pl/be%C5%BCowe-r%C4%99kawiczki-w%C3%B3lczanka-57724-1"";""Открыть ↗"")",16.09.2026,Качество подтверждения: частичное; причина указана в колонке «Почему важен». Размер: не указано на текущей PDP. НДС на странице: не указано. Наличие на странице: PRODUKT NIEDOSTĘPNY. Доставка: Самовывоз 0 PLN; DPD Pickup 8.79 PLN; ORLEN 8.99 PLN; DPD courier 12 PLN; InPost locker 13.99 PLN; InPost courier 14.99 PLN. Возврат: 30 дней.
141,Перчатки,Patrizia Aryton,Brązowe skórzane rękawiczki (10389-37),PL,Польша,Польский злотый,599,299,"Тип: leather + wool/cashmere lining; верх 100% skóra naturalna; подкладка 85% wełna, 15% kaszmir",,В наличии,"[2026-09-16] Официальная PL карточка товара: отдельный артикул 10389-37, sale 299 PLN против 599 PLN, минимум за 30 дней 299 PLN, кожаный верх, шерстяно-кашемировая подкладка и размеры S–L.","=HYPERLINK(""https://patrizia.aryton.pl/p/26200-brazowe-skorzane-rekawiczki.html"";""Открыть ↗"")",16.09.2026,Размер: S 36/38; M 40/42; L 44/46. НДС на странице: не указано. Наличие на странице: Доступно к добавлению в корзину. Доставка: Бесплатно по Польше: InPost locker и DPD; самовывоз из магазина бесплатно. Возврат: 14 дней.
142,Перчатки,Hestra,Ergo Grip Active Wool Terry – 5 finger (31190-100020),SE,Швеция,Шведская крона,1200,,"Тип: technical leather/textile + wool lining; верх Hestra Ventus 3-layer polyester/nylon/PU и пропитанная goat leather; подкладка wool terry 90% wool, 10% polyamide",,В наличии,"[2026-09-16] Официальная SE карточка товара: отдельная модель 31190-100020, цена, верх и wool-terry lining, размеры 6–11; не дубль Basic Wool Glove 63660-390.","=HYPERLINK(""https://www.hestragloves.se/products/ergo-grip-active-wool-terry-5-finger-black-offwhite"";""Открыть ↗"")",16.09.2026,"Размер: 6; 7; 8; 9; 10; 11. НДС на странице: не указано. Наличие на странице: Доступно к добавлению в корзину. Доставка: 40 SEK; бесплатно от 650 SEK; обычно отправка в течение 2 дней, затем 1–3 дня PostNord. Возврат: 30 дней; возвратный сбор 50 SEK."
143,Перчатки,Handsome Stockholm,Peccary Oatmeal – Men,SE,Швеция,Евро,500,,Тип: leather + cashmere lining; верх 100% peccary leather; подкладка 100% cashmere,,В наличии,"[2026-09-16] Замена кандидата Soft Goat: у шведского Handsome Stockholm есть прямая актуальная официальная карточка товара; роль североевропейского премиум-сегмента и конструкция leather + cashmere сохранены. Зафиксированы цена, материалы и размеры.","=HYPERLINK(""https://handsomestockholm.com/products/peccary-oatmeal-men"";""Открыть ↗"")",16.09.2026,"Размер: S; M; L; XL. НДС на странице: не указано. Наличие на странице: Доступно к добавлению в корзину. Доставка: По Швеции бесплатно PostNord, 1–3 рабочих дня; доставка по EU бесплатно. Возврат: 30 дней; возврат по EU бесплатный."
144,Перчатки,Hestra,Nelson (23320-710),DK,Дания,Датская крона,900,,Тип: leather + wool lining; верх hairsheep leather / Italian lamb nappa; подкладка 100% wool,,В наличии,"[2026-09-16] Официальная DK карточка товара: отдельная модель 23320-710, цена 900 DKK, кожа, 100% wool lining и половинные размеры. В политике возврата есть валютная несогласованность: DK-страница показывает сбор именно 50 SEK.","=HYPERLINK(""https://www.hestragloves.dk/products/nelson-cork"";""Открыть ↗"")",16.09.2026,"Качество подтверждения: частичное; причина указана в колонке «Почему важен». Размер: 7; 7½; 8; 8½; 9; 9½; 10; 10½. НДС на странице: не указано. Наличие на странице: Доступно к добавлению в корзину. Доставка: Pickup 40 DKK, home 110 DKK; бесплатно pickup от 500 DKK, home от 2000 DKK; упаковка до 2 рабочих дней, итоговый ETA в checkout. Возврат: 30 дней; локальная DK-страница указывает удержание за возврат 50 SEK."
145,Перчатки,Varusteleka,Varusteleka Merino Gloves,FI,Финляндия,Евро,16.99,,Тип: вязаные merino gloves / liner gloves; 100% mulesing-free merino wool; 450 g/m²; 19.5 micron; отдельная подкладка не указана,,В наличии,"[2026-09-16] Официальная финская карточка товара: отдельная пара/артикул, цена, 100% merino, три размера и наличие по вариантам; EU price указан с налогом.","=HYPERLINK(""https://varusteleka.com/en/products/varusteleka-merino-gloves"";""Открыть ↗"")",16.09.2026,"Размер: Small; Medium; Large. НДС на странице: Tax included. Наличие на странице: В целом более 20 шт. в наличии; некоторые сочетания цвета и размера распроданы; доступно добавление в корзину. Доставка: Стоимость рассчитывается в checkout; по Финляндии 1–3 рабочих дня; отдельные способы бесплатно от €100; 90% заказов отправляются на следующий рабочий день. Возврат: 100 дней; стоимость обратной пересылки зависит от способа, возврат в магазин возможен."
146,Перчатки,Johnstons of Elgin,Patrick Navy Men's Cashmere Gloves (HAY01001),EU,ЕС,Евро,125,,Тип: вязаные кашемировые перчатки; 100% cashmere; 2-ply; отдельная подкладка не указана,,Уточнить,"[2026-09-16] Официальная EUR карточка товара: отдельный артикул HAY01001, цена, 100% cashmere и One Size. Статус доступности противоречив: Sale Coming Soon и ADD TO BAG показаны одновременно.","=HYPERLINK(""https://johnstonsofelgin.com/en-at/products/patrick-navy-mens-cashmere-gloves"";""Открыть ↗"")",16.09.2026,Качество подтверждения: частичное; причина указана в колонке «Почему важен». Размер: One Size. НДС на странице: не указано. Наличие на странице: PDP одновременно показывает Sale Coming Soon и кнопку ADD TO BAG. Доставка: Worldwide delivery; большинство заказов complimentary; для Австрии до €250 возможна неуказанная небольшая доплата; Европа до 6 рабочих дней DHL Express или до 10 дней DPD. Возврат: 14 дней.
147,Перчатки,Falconeri,Handschuhe aus Kaschmir Ultrasoft mit Zopfmuster (DZ00529),EU,ЕС,Евро,98,,Тип: вязаные кашемировые перчатки; 100% cashmere; отдельная подкладка не указана,,В наличии,"[2026-09-16] Официальная DE/EUR карточка товара: отдельная новая модель DZ00529, цена и 100% cashmere; не дубль DZ00400/DZ00170. Значения размерной сетки и отдельная подкладка на доступной карточка товара не раскрыты.","=HYPERLINK(""https://www.falconeri.com/de/product/handschuhe_aus_kaschmir_ultrasoft_mit_zopfmuster-DZ00529.html?dwvar_DZ00529_Z_COL_FALC=8984"";""Открыть ↗"")",16.09.2026,"Качество подтверждения: частичное; причина указана в колонке «Почему важен». Размер: не указано; селектор размера присутствует. НДС на странице: не указано. Наличие на странице: Добавление в корзину после выбора размера. Доставка: Standard 1–3 дня €3.95, бесплатно Falconeri Club или от €250; pickup 1–3 дня €2.95 с теми же условиями; express до 48 часов €5.95; самовывоз из магазина бесплатно. Возврат: 30 дней; для Falconeri Club бесплатно, иначе €2.95."
