"id","категория","товар_бренд","рынок","рейтинг","средний_рейтинг_карточки","число_оценок_карточки","дата_отзыва","точность_даты","job_to_be_done","драйвер_покупки","позитив","барьер_возражение","тональность","код_темы","фрагмент_или_пересказ","режим_фиксации","статус_покупки","группа_зависимости","риск_зависимой_выборки","источник_url","тип_источника","дата_проверки","ограничение"
"VOC-041","Кашемировый шарф","H&M Cashmere Scarf","NL","4","4.4","33","2022-02-16","точная","Получить мягкое тепло у лица без зуда и лишнего веса.","кашемировое качество и цвет","материал и оттенок понравились","товар тоньше ожиданий","смешанный","TOO_THIN|COLOR_MATCH","Качество и цвет хороши, но ожидалась большая плотность.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmNlCashmere","Повышенный: 4 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/nl_nl/productpage.1021270001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине могут быть синдицированы; статус покупки не показан."
"VOC-042","Кашемировый шарф","H&M Cashmere Scarf","NL","5","4.4","33","2021-12-10","точная","Получить мягкое тепло у лица без зуда и лишнего веса.","полный формат и ощущение ресурса","мягкость, плотность и хороший размер","","позитив","SOFTNESS|THICKNESS|SIZE_FIT|DURABILITY","Мягкий, плотный, широкий и длинный; выглядит долговечным.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmNlCashmere","Повышенный: 4 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/nl_nl/productpage.1021270001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине могут быть синдицированы; статус покупки не показан."
"VOC-043","Плед из шерсти яка","Yumeko Deken Yak Wol Dark Brown","NL","","4.9","10","2026-08-09","точная","Получить лёгкое и очень тёплое укрытие для дивана или кровати.","роскошная тактильность, тепло и вид в интерьере","сочетает лёгкость, тепло и декоративность","высокая цена","смешанный","SOFTNESS|WARMTH|INTERIOR|PREMIUM_PRICE","Очень мягкий, лёгкий и тёплый; красиво лежит на диване.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","yumekoNlYak","Повышенный: 6 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.yumeko.nl/deken-yak-wol-dark-brown","официальная карточка бренда","2026-09-15","Проверенность покупки не указана; выборка одной карточки и не содержит данных о продажах."
"VOC-044","Плед из шерсти яка","Yumeko Deken Yak Wol Dark Brown","NL","","4.9","10","2026-05-06","точная","Получить лёгкое и очень тёплое укрытие для дивана или кровати.","комфорт кожи, этичность и долгий срок службы","лёгкость и отсутствие зуда","высокая цена","смешанный","LOW_ITCH|ETHICS|DURABILITY|PREMIUM_PRICE","Не колется и мало весит; высокая цена оправдана этичностью.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","yumekoNlYak","Повышенный: 6 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.yumeko.nl/deken-yak-wol-dark-brown","официальная карточка бренда","2026-09-15","Проверенность покупки не указана; выборка одной карточки и не содержит данных о продажах."
"VOC-045","Плед из шерсти яка","Yumeko Deken Yak Wol Dark Brown","NL","","4.9","10","2025-01-11","точная","Получить лёгкое и очень тёплое укрытие для дивана или кровати.","редкое волокно и качество","материал понравился","недостаточный размер и высокая цена","смешанный","SIZE_SHORT|PREMIUM_PRICE|QUALITY_CONSISTENCY","Качество отличное, но размер маловат, а цена высокая.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","yumekoNlYak","Повышенный: 6 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.yumeko.nl/deken-yak-wol-dark-brown","официальная карточка бренда","2026-09-15","Проверенность покупки не указана; выборка одной карточки и не содержит данных о продажах."
"VOC-046","Плед из шерсти яка","Yumeko Deken Yak Wol Dark Brown","NL","","4.9","10","2023-12-02","точная","Получить лёгкое и очень тёплое укрытие для дивана или кровати.","максимум тепла без тяжести","мягкий, лёгкий и тёплый","","позитив","SOFTNESS|WARMTH","Лёгкий и очень тёплый плед с мягким касанием.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","yumekoNlYak","Повышенный: 6 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.yumeko.nl/deken-yak-wol-dark-brown","официальная карточка бренда","2026-09-15","Проверенность покупки не указана; выборка одной карточки и не содержит данных о продажах."
"VOC-047","Плед из шерсти яка","Yumeko Deken Yak Wol Dark Brown","NL","","4.9","10","2023-01-06","точная","Получить лёгкое и очень тёплое укрытие для дивана или кровати.","долговечное домашнее тепло","греет и остаётся красивым","","позитив","WARMTH|DURABILITY","Долго сохраняет тепло и внешний вид.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","yumekoNlYak","Повышенный: 6 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.yumeko.nl/deken-yak-wol-dark-brown","официальная карточка бренда","2026-09-15","Проверенность покупки не указана; выборка одной карточки и не содержит данных о продажах."
"VOC-048","Плед из шерсти яка","Yumeko Deken Yak Wol Dark Brown","NL","","4.9","10","2015-11-26","точная","Получить лёгкое и очень тёплое укрытие для дивана или кровати.","размер для отдыха на диване","удобно полностью укутаться","занимает много места в сложенном виде","смешанный","SIZE_FIT|INTERIOR","Размер удобен для укутывания, но сложенный плед объёмный.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","yumekoNlYak","Повышенный: 6 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.yumeko.nl/deken-yak-wol-dark-brown","официальная карточка бренда","2026-09-15","Проверенность покупки не указана; выборка одной карточки и не содержит данных о продажах."
"VOC-049","Шерстяной / мериносовый плед","IKEA MOALIE 100% wool throw","NL","5","4.6","7","","не показана","Утеплиться дома и добавить натуральную фактуру интерьеру.","мягкость натуральной шерсти","приятная тактильность и качество","","позитив","SOFTNESS|NATURAL_FIBER","Очень мягкий плед хорошего качества.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","ikeaNlMoalie","Повышенный: 4 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.ikea.com/nl/nl/p/moalie-plaid-grijs-50354107/","крупный ритейлер, локальная карточка товара","2026-09-15","Дата публикации не показана; часть отзывов может быть синдицирована между рынками."
"VOC-050","Шерстяной / мериносовый плед","IKEA MOALIE 100% wool throw","NL","5","4.6","7","","не показана","Утеплиться дома и добавить натуральную фактуру интерьеру.","домашнее тепло из натурального материала","греет в холодную погоду","","позитив","WARMTH|NATURAL_FIBER","Натуральная шерсть помогает пережить холодные дни.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","ikeaNlMoalie","Повышенный: 4 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.ikea.com/nl/nl/p/moalie-plaid-grijs-50354107/","крупный ритейлер, локальная карточка товара","2026-09-15","Дата публикации не показана; часть отзывов может быть синдицирована между рынками."
"VOC-051","Шерстяной / мериносовый плед","IKEA MOALIE 100% wool throw","NL","3","4.6","7","","не показана","Утеплиться дома и добавить натуральную фактуру интерьеру.","натуральная шерсть для регулярного домашнего использования","","домашняя стирка запрещена","негатив","CARE_LIMIT","Главный минус: плед нельзя постирать дома.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","ikeaNlMoalie","Повышенный: 4 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.ikea.com/nl/nl/p/moalie-plaid-grijs-50354107/","крупный ритейлер, локальная карточка товара","2026-09-15","Дата публикации не показана; часть отзывов может быть синдицирована между рынками."
"VOC-052","Шерстяной / мериносовый плед","IKEA MOALIE 100% wool throw","NL","5","4.6","7","","не показана","Утеплиться дома и добавить натуральную фактуру интерьеру.","тепло и понятная ценность","качество соответствует стоимости","","позитив","WARMTH|PRICE_VALUE","Тёплый и качественный, соответствует ожиданиям по цене.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","ikeaNlMoalie","Повышенный: 4 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.ikea.com/nl/nl/p/moalie-plaid-grijs-50354107/","крупный ритейлер, локальная карточка товара","2026-09-15","Дата публикации не показана; часть отзывов может быть синдицирована между рынками."
"VOC-053","Кашемировый шарф","H&M Cashmere Scarf","BE","3","4.7","7","2022-12-04","точная","Получить мягкое тепло у лица без зуда и лишнего веса.","плотный кашемировый шарф","","визуальная карточка завысила ожидание толщины","негатив","TOO_THIN|PHOTO_ACCURACY","На фото шарф кажется намного толще, поэтому покупка разочаровала.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmBeCashmere","Повышенный: 3 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/fr_be/productpage.1021270007.html","крупный ритейлер, локальная карточка товара","2026-09-15","Малая база отзывов; локальная витрина может показывать синдицированный пул."
"VOC-054","Кашемировый шарф","H&M Cashmere Scarf","BE","5","4.7","7","2021-12-05","точная","Получить мягкое тепло у лица без зуда и лишнего веса.","мягкое кашемировое тепло","приятный материал и тепло","недостаточная длина","смешанный","SIZE_SHORT|SOFTNESS|WARMTH","Слишком короткий, хотя мягкость и тепло почти идеальны.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmBeCashmere","Повышенный: 3 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/fr_be/productpage.1021270007.html","крупный ритейлер, локальная карточка товара","2026-09-15","Малая база отзывов; локальная витрина может показывать синдицированный пул."
"VOC-055","Кашемировый шарф","H&M Cashmere Scarf","BE","5","4.7","7","2022-02-06","точная","Получить мягкое тепло у лица без зуда и лишнего веса.","мягкость и тепло кашемира","приятен у кожи и греет","","позитив","SOFTNESS|WARMTH","Очень мягкий и тёплый шарф.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmBeCashmere","Повышенный: 3 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/fr_be/productpage.1021270007.html","крупный ритейлер, локальная карточка товара","2026-09-15","Малая база отзывов; локальная витрина может показывать синдицированный пул."
"VOC-056","Плед из шерсти яка","Allnatura Cordelia Yak Blanket","BE","","5","5","2026-04-29","точная","Получить лёгкое и очень тёплое укрытие для дивана или кровати.","ожидание премиального натурального пледа","полное соответствие ожиданиям","","позитив","QUALITY_CONSISTENCY","Плед полностью оправдал ожидания.","точный пересказ на русском; исходный длинный текст не сохранён","подтверждённая","allnaturaBeYak","Повышенный: 3 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.allnatura.be/fr/p/couverture-en-poils-naturels-de-yack-cordelia-1090","официальная BE-карточка ритейлера","2026-09-15","Trusted Shops подтверждает покупку, но отзывы на BE-витрине могут быть переведены или синдицированы."
"VOC-057","Плед из шерсти яка","Allnatura Cordelia Yak Blanket","BE","","5","5","2024-12-02","точная","Получить лёгкое и очень тёплое укрытие для дивана или кровати.","сравнение натуральных премиальных волокон","як превзошёл альтернативные тонкорунные пледы","цена требует сравнения, но признана приемлемой","позитив","PRICE_VALUE|NATURAL_FIBER","Среди тонкорунных пледов вариант из яка оказался лучшим.","точный пересказ на русском; исходный длинный текст не сохранён","подтверждённая","allnaturaBeYak","Повышенный: 3 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.allnatura.be/fr/p/couverture-en-poils-naturels-de-yack-cordelia-1090","официальная BE-карточка ритейлера","2026-09-15","Trusted Shops подтверждает покупку, но отзывы на BE-витрине могут быть переведены или синдицированы."
"VOC-058","Плед из шерсти яка","Allnatura Cordelia Yak Blanket","BE","","5","5","2018-04-24","точная","Получить лёгкое и очень тёплое укрытие для дивана или кровати.","подарок старшему человеку большого роста","подошёл по размеру, теплу и виду","","позитив","GIFT|WARMTH|SIZE_FIT|INTERIOR","Пожилому высокому человеку плед подошёл: тёплый и красивый.","точный пересказ на русском; исходный длинный текст не сохранён","подтверждённая","allnaturaBeYak","Повышенный: 3 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.allnatura.be/fr/p/couverture-en-poils-naturels-de-yack-cordelia-1090","официальная BE-карточка ритейлера","2026-09-15","Trusted Shops подтверждает покупку, но отзывы на BE-витрине могут быть переведены или синдицированы."
"VOC-059","Шерстяной / мериносовый плед","IKEA STOCKHOLM 2025 wool/merino throw","BE","3","4.3","31","","не показана","Утеплиться дома и добавить натуральную фактуру интерьеру.","шерстяное тепло для дома","хорошо греет","оставляет слишком много ворса","смешанный","WARMTH|SHEDDING","Тёплый плед сильно линяет.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","ikeaBeStockholm","Повышенный: 2 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.ikea.com/be/nl/p/stockholm-2025-plaid-helderblauw-20592195/","крупный ритейлер, локальная карточка товара","2026-09-15","Дата публикации не показана; часть отзывов может быть синдицирована между рынками."
"VOC-060","Шерстяной / мериносовый плед","IKEA STOCKHOLM 2025 wool/merino throw","BE","4","4.3","31","","не показана","Утеплиться дома и добавить натуральную фактуру интерьеру.","яркий интерьерный акцент и семейный уют","работает как декор и тёплое укрытие","высокая цена","смешанный","INTERIOR|WARMTH|GIFT|PREMIUM_PRICE","Добавляет цвет интерьеру и уютен для заболевших внуков.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","ikeaBeStockholm","Повышенный: 2 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.ikea.com/be/nl/p/stockholm-2025-plaid-helderblauw-20592195/","крупный ритейлер, локальная карточка товара","2026-09-15","Дата публикации не показана; часть отзывов может быть синдицирована между рынками."
"VOC-061","Шерстяной шарф","& Other Stories Wool Fringe Scarf","DK","5","4.8","6","2023-10-08","точная","Согреть шею и дополнить верхнюю одежду без лишнего объёма.","максимальная мягкость натуральной шерсти","очень мягкое касание","","позитив","SOFTNESS|NATURAL_FIBER","Очень приятный шарф из самой мягкой шерсти.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmDkWool","Повышенный: 2 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/da_dk/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Малая база отзывов; локальная витрина может показывать синдицированный пул."
"VOC-062","Шерстяной шарф","& Other Stories Wool Fringe Scarf","DK","5","4.8","6","2024-01-07","точная","Согреть шею и дополнить верхнюю одежду без лишнего объёма.","цвет как часть зимнего образа","оттенок и общий вид понравились","","позитив","COLOR_MATCH","Прекрасный шарф с привлекательным оттенком.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmDkWool","Повышенный: 2 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/da_dk/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Малая база отзывов; локальная витрина может показывать синдицированный пул."
"VOC-063","Шерстяной / мериносовый плед","IKEA STOCKHOLM 2025 wool/merino throw","DK","5","4.2","39","","не показана","Утеплиться дома и добавить натуральную фактуру интерьеру.","натуральный подарок для нового дома","лёгкий, мягкий и не раздражает кожу","высокая цена","смешанный","LOW_ITCH|GIFT|PREMIUM_PRICE|SOFTNESS","Воздушный, лёгкий и не колется; дорогой, но достойный подарок.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","ikeaDkStockholm","Один отзыв с карточки; остаётся риск самоотбора автора и нерепрезентативности.","https://www.ikea.com/dk/da/p/stockholm-2025-plaid-gron-50592194/","крупный ритейлер, локальная карточка товара","2026-09-15","Дата публикации не показана; часть отзывов может быть синдицирована между рынками."
"VOC-064","Шерстяной шарф","& Other Stories Wool Fringe Scarf","SE","4","4.8","49","2023-10-15","точная","Согреть шею и дополнить верхнюю одежду без лишнего объёма.","мягкость и тепло","приятен и хорошо греет","снятие ярлыка может повредить ткань","смешанный","SOFTNESS|WARMTH|DURABILITY","Шарф мягкий и тёплый, но ярлык пришит слишком туго.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmSeWool","Повышенный: 7 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/sv_se/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине H&M Group могут быть синдицированы; статус покупки не показан."
"VOC-065","Шаль / палантин","& Other Stories Wool Fringe Scarf","SE","5","4.8","49","2023-12-08","точная","Укутать плечи в прохладу и носить аксессуар несколькими способами.","большой формат и выбор цветов","удобно укутываться, есть намерение повторить покупку","","позитив","SIZE_FIT|VERSATILITY|REPEAT_BUY|COLOR_MATCH","Щедрый размер удобен для укутывания; хочется второй цвет.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmSeWool","Повышенный: 7 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/sv_se/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине H&M Group могут быть синдицированы; статус покупки не показан."
"VOC-066","Шаль / палантин","& Other Stories Wool Fringe Scarf","SE","5","4.8","49","2024-01-31","точная","Укутать плечи в прохладу и носить аксессуар несколькими способами.","плотность и двухцветный дизайн","подходит как плечевое укрытие","","позитив","THICKNESS|VERSATILITY|COLOR_MATCH","Плотный двухцветный шарф отлично работает как шаль на плечи.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmSeWool","Повышенный: 7 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/sv_se/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине H&M Group могут быть синдицированы; статус покупки не показан."
"VOC-067","Шерстяной шарф","& Other Stories Wool Fringe Scarf","SE","5","4.8","49","2023-10-20","точная","Согреть шею и дополнить верхнюю одежду без лишнего объёма.","комфорт и тепло","мягкость, уют и тепло","","позитив","SOFTNESS|WARMTH|PRICE_VALUE","Очень мягкий, тёплый и уютный; цена кажется оправданной.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmSeWool","Повышенный: 7 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/sv_se/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине H&M Group могут быть синдицированы; статус покупки не показан."
"VOC-068","Шерстяной шарф","& Other Stories Wool Fringe Scarf","SE","5","4.8","49","2024-10-25","точная","Согреть шею и дополнить верхнюю одежду без лишнего объёма.","чистая носка без линьки","мало ворса и приятное ощущение","","позитив","SHEDDING|SOFTNESS","Уютный шарф почти не оставляет ворса.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmSeWool","Повышенный: 7 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/sv_se/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине H&M Group могут быть синдицированы; статус покупки не показан."
"VOC-069","Шерстяной шарф","& Other Stories Wool Fringe Scarf","SE","5","4.8","49","2024-09-17","точная","Согреть шею и дополнить верхнюю одежду без лишнего объёма.","точное соответствие карточке","цвет и мягкость ожидаемые","","позитив","SOFTNESS|COLOR_MATCH|PHOTO_ACCURACY","Мягкость и цвет совпали с ожиданиями по фото.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmSeWool","Повышенный: 7 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/sv_se/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине H&M Group могут быть синдицированы; статус покупки не показан."
"VOC-070","Шаль / палантин","& Other Stories Wool Fringe Scarf","SE","4","4.8","49","2024-12-02","точная","Укутать плечи в прохладу и носить аксессуар несколькими способами.","большой размер без тяжёлого объёма","удачный баланс размера и толщины","","позитив","SIZE_FIT|THICKNESS|VERSATILITY","Большой и приятный, при этом не слишком толстый.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmSeWool","Повышенный: 7 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/sv_se/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине H&M Group могут быть синдицированы; статус покупки не показан."
"VOC-071","Шерстяной / мериносовый плед","IKEA MOALIE wool throw","SE","5","4.4","56","","не показана","Утеплиться дома и добавить натуральную фактуру интерьеру.","100% шерсть по доступной цене","мягкость и качество выше ожиданий","","позитив","SOFTNESS|PRICE_VALUE|NATURAL_FIBER","Мягкая шерсть удивляет качеством за эту цену.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","ikeaSeMoalie","Один отзыв с карточки; остаётся риск самоотбора автора и нерепрезентативности.","https://www.ikea.com/se/en/p/moalie-throw-dark-red-brown-20651646/","крупный ритейлер, локальная карточка товара","2026-09-15","Дата публикации не показана; часть отзывов может быть синдицирована между рынками."
"VOC-072","Шерстяной шарф","& Other Stories Wool Fringe Scarf","PL","4","4.8","31","2026-01-26","точная","Согреть шею и дополнить верхнюю одежду без лишнего объёма.","тепло, мягкость и красный оттенок","мягкий, плотный и тёплый","цвет холоднее и фиолетовее ожидаемого","смешанный","SOFTNESS|WARMTH|COLOR_MISMATCH|THICKNESS","Мягкий, толстый и тёплый, но цвет скорее сливовый.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmPlWool","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/pl_pl/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине H&M Group могут быть синдицированы; статус покупки не показан."
"VOC-073","Шаль / палантин","& Other Stories Wool Fringe Scarf","PL","4","4.8","31","2025-12-15","точная","Укутать плечи в прохладу и носить аксессуар несколькими способами.","большой размер и комфорт у кожи","не колется, размер позволяет сложить","тонкость и высокая цена","смешанный","LOW_ITCH|SIZE_FIT|TOO_THIN|PREMIUM_PRICE","Не колется и хорошо складывается, однако тонковат и дорог.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmPlWool","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/pl_pl/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине H&M Group могут быть синдицированы; статус покупки не показан."
"VOC-074","Шаль / палантин","& Other Stories Wool Fringe Scarf","PL","5","4.8","31","2025-11-11","точная","Укутать плечи в прохладу и носить аксессуар несколькими способами.","натуральный состав и большой формат","мягкость, тепло и размер","","позитив","SOFTNESS|WARMTH|SIZE_FIT|NATURAL_FIBER","Очень большой, мягкий и тёплый; состав считают идеальным.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmPlWool","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/pl_pl/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине H&M Group могут быть синдицированы; статус покупки не показан."
"VOC-075","Шерстяной шарф","& Other Stories Wool Fringe Scarf","PL","5","4.8","31","2024-11-20","точная","Согреть шею и дополнить верхнюю одежду без лишнего объёма.","универсальный чёрный цвет и комфорт","не колется, греет и не громоздкий","","позитив","LOW_ITCH|WARMTH|THICKNESS|COLOR_MATCH","Чёрный шарф не колется, тёплый и удачной толщины.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmPlWool","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/pl_pl/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине H&M Group могут быть синдицированы; статус покупки не показан."
"VOC-076","Шаль / палантин","& Other Stories Wool Fringe Scarf","PL","5","4.8","31","2026-03-20","точная","Укутать плечи в прохладу и носить аксессуар несколькими способами.","удобное укутывание","толщина и размер работают вместе","","позитив","SIZE_FIT|THICKNESS|VERSATILITY","Удобно оборачивается благодаря правильной толщине и размеру.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmPlWool","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/pl_pl/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине H&M Group могут быть синдицированы; статус покупки не показан."
"VOC-077","Кашемировый шарф","H&M Cashmere Scarf","PL","5","4.7","119","2022-11-11","точная","Получить мягкое тепло у лица без зуда и лишнего веса.","долговечность натурального материала","ожидается меньший быстрый пилинг, чем у акрила","более высокая первоначальная цена","смешанный","NATURAL_FIBER|DURABILITY|PILLING|PRICE_VALUE","Кашемир воспринимают как долгую инвестицию вместо акрила.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmPlCashmere","Повышенный: 2 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/pl_pl/productpage.1021270004.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине могут быть синдицированы; статус покупки не показан."
"VOC-078","Кашемировый шарф","H&M Cashmere Scarf","PL","5","4.7","119","2026-01-05","точная","Получить мягкое тепло у лица без зуда и лишнего веса.","драпировка, нейтральный цвет и средняя плотность","удачно лежит и имеет сбалансированную толщину","лёгкий коричневый подтон","позитив","COLOR_MATCH|THICKNESS|VERSATILITY","Хорошо драпируется; коричневатый тон и толщина сбалансированы.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmPlCashmere","Повышенный: 2 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/pl_pl/productpage.1021270004.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине могут быть синдицированы; статус покупки не показан."
"VOC-079","Шерстяной / мериносовый плед","IKEA STOCKHOLM 2025 wool/merino throw","PL","5","4.5","8","","не показана","Утеплиться дома и добавить натуральную фактуру интерьеру.","натуральный материал для ежедневного дома","греет и ощущается практичным","","позитив","WARMTH|NATURAL_FIBER","Тёплый, практичный плед с натуральным составом.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","ikeaPlStockholm","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.ikea.com/pl/pl/p/stockholm-2025-pled-zielony-50592194/","крупный ритейлер, локальная карточка товара","2026-09-15","Дата публикации не показана; база из восьми оценок ограничивает обобщение."
"VOC-080","Шерстяной / мериносовый плед","IKEA STOCKHOLM 2025 wool/merino throw","PL","1","4.5","8","","не показана","Утеплиться дома и добавить натуральную фактуру интерьеру.","долговечный плед для вечернего использования","","сильный пилинг и неудовлетворительное решение претензии","негатив","PILLING|DURABILITY|COMPLAINT_SERVICE","Через месяц плед покрылся катышками; жалобу решили плохо.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","ikeaPlStockholm","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.ikea.com/pl/pl/p/stockholm-2025-pled-zielony-50592194/","крупный ритейлер, локальная карточка товара","2026-09-15","Дата публикации не показана; база из восьми оценок ограничивает обобщение."
"VOC-081","Шерстяной / мериносовый плед","IKEA STOCKHOLM 2025 wool/merino throw","PL","5","4.5","8","","не показана","Утеплиться дома и добавить натуральную фактуру интерьеру.","тепло и эмоционально приятный цвет","греет и создаёт сезонное настроение","","позитив","WARMTH|COLOR_MATCH|INTERIOR","Согревает холодными вечерами, а цвет напоминает лето.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","ikeaPlStockholm","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.ikea.com/pl/pl/p/stockholm-2025-pled-zielony-50592194/","крупный ритейлер, локальная карточка товара","2026-09-15","Дата публикации не показана; база из восьми оценок ограничивает обобщение."
